,Term,Origin,Meaning,Example,Position,Comments
0,aber[1],"C, W, P, K","mouth (of a river), confluence, a meeting of waters","Aberystwyth, Aberdyfi, Aberdeen, Abergavenny, Aberuthven",prefix,See also Aber and Inver (placename elements)
1,"ac, acc",OE,"acorn, or oak tree","Accrington,[2] Acomb, Acton, Matlock[3]",prefix,
2,ock,OE,,,suffix,
3,Druineach[4],SG,uncertain,"Airigh nan Druineach, Cladh nan Druineach, Druineachan",,
4,"afon, avon[1]","W, SG, K, I",river,"River Avon, Avonmouth, Avonwick, Glanyrafon",,"W afon is pronounced ""AH-von""; several English rivers are named Avon. In Irish the word, spelled abhann, is mainly (though not exclusively) pronounced OW-en"
5,"ar, ard[5][6][7]","I, SG","high, height","Armagh, Ardglass, Ardgay",,
6,ash,OE,ash tree,"Ashby de la Zouch, Ashton-under-Lyne, Ashton-in-Makerfield [8]",,
7,ast,OE,east,"Aston, Astley [9]",prefix,
8,"auch(en)/(in)-, ach-[5]","I, SG",field,"Auchendinny, Auchenshuggle, Auchinairn, Achnasheen",prefix,"anglicised from achadh. Ach- is generally the Highland form, and Auch- the lowland. Auchen- (from Achadh nan ...) means 'field of the ...'"
9,auchter-[5],"I, SG","height, top of something","Auchtermuchty, Auchterarder",prefix,anglicised from uachdar
10,"axe, exe, usk, esk",OE,"from acsa, meaning river","Exeter, River Axe (Devon), River Exe, River Usk, Axminster, River Esk, Lothian.",,
11,"ay, ey[10]","OE,ON",island,"Ramsay, Westray, Lundy,[11] Orkney",suffix (usually),
12,"bal, balla, bally, ball[5]","SG, I","farm, homestead or mouth, approach","Ballachulish, Balerno, Ballymena, Ballinamallard, Ballater, Balmoral",prefix,anglicised from baile or sometimes also béal
13,"beck,[10] bach","OE,ON",stream,"Holbeck,[12] Beckinsale, Troutbeck, Beckton, Tooting Bec, Sandbach, Comberbach",,cf. Ger. Bach
14,"ben, beinn, beann, ban, bannau, bannock, bannog","SG, W","mountain, summit, summits, mountainous","Ben Nevis, Ben Cruachan, Bannau Brycheiniog, Bannockburn",,
15,"berg, berry[10]","OE,ON",hill (cf. 'iceberg'),"Roseberry Topping, Berkhamsted, Sedbergh",,"In Farnborough (OE Fernaberga),[13] berg has converged toward borough, Ger. berg"
16,bex,OE,"box, the tree","Bexley, Bexhill-on-Sea[14]",,"The OE name of Bexhill-on-Sea was Bexelei, a glade where box grew.[14]"
17,"blen, blaen","C, W","fell, hill, upland","Blencathra, Blencogo, Blaenau Ffestiniog, Blantyre",,
18,bost[10],ON,farm,Leurbost,suffix,"cf. ster, (bol)staðr; this form is usually found in the Outer Hebrides. Related to Swedish 'bol' as in Bäckebol and Brandsbol, as well the direct cognate Bolstad."
19,"bourne, burn",OE,"large brook, large stream, small river","Bournemouth, Melbourne, Bourne, Eastbourne,[15] Ashbourne, Blackburn, Bannockburn, Goulburn",,"cf. Ger. -born as in Herborn. The word ""burn"" is still in common use in Scotland in this sense."
20,brad,OE,broad,Bradford[16],prefix,
21,bre[1],"C, W, K",hill,"Bredon, Carn Brea",prefix,
22,"bury, borough, brough, burgh",OE,fortified enclosure,"Aylesbury, Canterbury, Dewsbury, Bury, Pendlebury, Newbury, Shrewsbury, Tewkesbury, Glastonbury,[17] Middlesbrough,[18] Edinburgh, Bamburgh, Peterborough, Knaresborough, Scarborough, Jedburgh, Aldeburgh",(usually) suffix,See also -bury and Borough for further information and other uses. Burgh is primarily Northumbrian and  Scots. Cf. Nl. and Ger. Burg
23,"by,[10] bie",ON,"settlement, village","Grimsby,[19] Tenby, Derby, Whitby, Selby, Crosby, Formby, Kirkby, Rugby, Helsby, Corby, Wetherby, Lockerbie",usually suffix but compare Bicker (the town marsh),also survives in bylaw and by-election
24,carden,P,thicket,"Kincardine, Cardenden",suffix,
25,"caer, car[1]","C, W","camp, fortification","Caerdydd, Caerleon, Carlisle,[20] Caerfyrddin",prefix,See also Caer.  Brythonic caer from Latin castrum; cf Chester (OE).
26,"caster, chester, cester, ceter","OE,L","camp, fortification (of Roman origin)","Lancaster,[21] Doncaster, Gloucester, Caister, Manchester, Chichester, Worcester, Chester, Exeter, Cirencester, Colchester, Tadcaster, Leicester, Towcester, Winchester",suffix,
27,"cheap, chipping",OE,market,"Chipping Norton,[22] Chipping Campden, Chepstow",,"also as part of a street, e.g. Cheapside. Chippenham is from a personal name."
28,"combe, coombe",Bry,valley,"Barcombe (""Valley of the Britons""), Farncombe, Ilfracombe, Salcombe, Coombe Country Park,[23]",,"usually pronounced 'coo-m' or 'cum', cognate with cwm"
29,coed[1],W,"wood, forest",Betws-y-coed,,
